Name,S1,S2,S3,S4,S5,S6,S7,S8
Group,WT,WT,WT,WT,Treatment,Treatment,Treatment,Treatment
"P73299",6222300,5739300,396100,5416300,4349600,4835300,5055400,5988000
"P73300",2474500,1770900,0,1529800,1213600,1381900,3387300,1589800
"P73301",691010,720990,0,659630,681540,570360,809240,712060
"P73302",1514600,1835400,662330,2300500,1875900,1811200,1581600,1669600
"P73303",4912500,4797700,1246200,5251700,5131100,4795700,1454400,4340400
"P73304",2756900,2090200,0,2059800,1982900,2026700,2284500,1820900
"P73305",4835800,3113800,0,2915600,4658300,3954700,8927900,4295500
"P73306",5962100,6987900,88498,6646000,5457400,5928300,2964700,6691800
"P73307",1484100,1358200,0,1419300,1622300,1710100,1709800,1252400
"P73308",4989200,6774200,1047100,5074500,4468500,5016100,1790400,5979600
"P73309",8732900,5309400,3700800,6244700,4051000,5076100,8674400,7893200
"P73310",4442300,6745300,1456000,4573800,4016600,4242700,1025800,5627000
"P73311",2478500,2915300,4652600,2456500,2652900,2328900,658990,2292600
"P73312",5313600,3800500,3371800,5457200,5700300,4988200,4320500,4126600
"P73313",2281900,2517700,3330100,1645400,1197700,1193100,723670,2726200
"P73314",1174300,1026400,0,1066600,1161000,1031900,2095100,966880
"P73315",2196300,2398600,1124900,2736300,1673000,2706200,1211000,3100100
"P73316",5844500,5277900,0,5609200,5244300,5901900,6260500,5462100
"P73317",3844000,4645000,1054200,4648100,3197700,3408300,3904800,3785200
"P73318",3319400,2436100,946550,3206800,2850400,2562500,4251800,2840600
"P73319",5830400,6542200,500420,5488400,5469000,5617400,2189800,6160100
"P73320",6226400,5250500,999010,4028600,3103300,3901200,3164800,4542200
"P73321",1643900,1861600,0,1243900,1115500,1436100,967280,1354600
"P73325",56104,58042,0,78231,60197,54744,96460,74420
"P73326",148560,122560,0,138810,185530,176130,0,146880
"P73328",371250,363230,0,499040,317530,415700,360690,314240
"P73923;P73330",0,0,0,0,0,0,0,0
"P73334",1551100,1346600,109480,1579500,1767800,1526000,1868700,1488100
"P73335",0,0,0,50822,45222,70844,0,45264
"P73336",3634200,4186400,0,5199000,4477600,4575300,2788400,2768000
"P73340",224020,168220,0,189210,168050,160290,146250,126560
"P73342",0,0,0,0,0,0,0,0
"P73343",0,0,0,133450,131780,106760,0,131020
"P73344",85989,115200,0,77652,69276,80011,0,63537
"P73346",0,0,0,0,52582,69915,0,0
"P73348",7637600,10486000,516500,8029600,6963200,7310800,3421100,8164400
"P73353",0,0,0,0,0,0,0,0
"P73354",61586,85809,0,0,40058,52228,0,42921
"P73355",584490,811170,0,561060,583470,566540,775910,442010
"P73356",0,169780,0,105380,0,116400,101460,121610
"P73357",165850,231070,0,230690,72712,187270,0,212670
"P73359",246880,0,0,204990,226560,0,0,0
"P73360",0,0,0,0,0,0,0,0
"P73361",0,0,0,0,0,0,0,0
"P73368",0,0,0,0,0,0,0,0
"P73370",155840,0,0,154440,180640,208400,0,130170
"P73371",186710,0,0,306590,0,203410,186170,351070
"P73375",0,0,0,52998,59511,44433,0,0
"P73376",1848300,1822200,94513,2398500,1923400,1566200,2811900,1829300
"P73377",0,0,0,0,0,0,0,0
"P73383",0,0,0,43226,51274,41935,0,31028
"P73388",1847000,1883400,0,2449900,2231400,1676800,2034300,1905600
"P73390",0,0,0,0,0,0,0,0
"P73392",130350,179010,0,128540,185860,247850,144170,233720
"P73393",0,0,0,51634,0,0,0,82254
"P73404",0,0,0,0,0,0,0,0
"P73405",572820,732840,0,371250,451870,586670,0,376040
"P73406",0,0,0,0,0,0,0,0
"P73407",233660,233490,0,282920,308640,315190,365990,201280
"P73409",4976100,4382100,2826900,7737600,6100200,5880000,4598500,7709800
"P73410",1144900,913380,0,902170,1059600,910910,287390,1089400
"P73411",132060,209700,0,203130,297780,298540,184580,193020
"P73412",0,0,0,0,40171,35915,0,0
"P73416",64934,96989,0,86354,66614,62332,0,86271
"P73418",6121800,8066800,3620400,6013800,5729400,6486700,7641300,6124700
"P73420",0,0,0,0,0,0,0,0
"P73422",119910,117780,0,127350,144830,134320,110560,112080
"P73424",234660,263480,0,233190,231330,225090,348310,193660
"P73425",150480,162090,0,152890,132820,106320,0,141140
"P73426",189790,234350,0,186540,149470,134330,210840,188910
"P73431",0,82910,0,74983,84959,77973,100080,63411
"P73436",0,0,0,0,0,0,0,0
"P73437",160090,164390,0,207820,250110,218420,309180,175880
"P73438",0,0,0,0,0,0,0,0
"P73439",87759,114690,0,112120,82844,75323,0,93826
"P73440",95033,161530,0,120940,165640,152260,0,139720
"P73441",343370,411870,0,387260,324480,294580,566110,362370
"P73443",194380,428010,0,154440,202470,233590,190130,220330
"P73445",91159,109600,0,85691,106930,109170,0,103320
"P73447",0,0,0,0,0,0,0,0
"P73448",0,0,0,0,0,0,0,0
"P73449",229340,235530,0,285250,332140,286410,573340,289040
"P73450",68442,27665,0,64799,104730,85948,87405,52379
"P73451",344940,0,0,0,77587,0,0,0
"P73452",3453800,3276400,0,3888200,4754400,3760700,5700500,4028900
"P73453",0,0,0,0,0,0,0,0
"P73455",116630,201660,0,143660,106930,98761,149810,118060
"P73456",1027700,1251900,0,1027500,1019300,1127800,1669900,1360700
"P73458",1003400,1064600,453860,1272600,1022300,831100,1228500,1258400
"P73461",80686,94060,0,78153,0,0,116710,100870
"P73462",0,0,0,0,0,0,0,0
"P73463",423780,699460,299680,750980,726000,721900,702390,640780
"P73465",140950,115330,0,158550,149250,128850,0,113510
"P73466",110860,131360,0,127920,102140,109500,0,129830
"P73467",0,0,0,0,0,0,0,0
"P73468",0,0,0,0,0,0,0,0
"P73471",438190,674410,0,542770,501440,665520,418200,549140
"P73472",253270,255620,0,243420,287640,266970,98742,225290
"P73473",0,0,0,22101,0,24632,0,0
"P73477",0,0,0,0,0,0,0,0
"P73478",0,82255,0,86584,86580,59502,0,0
"P73479",0,0,0,0,39259,25119,0,0
"P73480",0,0,0,67969,71339,91116,0,0
"P73481",232130,442750,0,406910,440860,466470,716530,322300
"P73482",0,0,0,0,0,0,0,0
"P73488",3296200,2979100,0,2432300,3158700,4157200,1998100,2768800
"P73489",0,0,0,342670,348750,580930,0,248320
"P73492",372510,343600,0,507880,487940,446280,543470,385180
"P73493",68950,91503,0,52831,82773,81406,0,63247
"P73494",0,0,0,0,0,0,0,0
"P73495",0,0,0,0,98599,71417,0,0
"P73496",206760,0,0,208730,110220,307090,0,333130
"P73497",271850,312060,0,314000,186580,265570,192840,259250
"P73499",0,0,0,0,0,0,0,0
"P73500",0,0,0,0,0,0,0,0
"P73501",0,196380,0,190500,164120,140750,0,216510
"P73503",0,0,0,123520,180560,138870,0,0
"P73505",215870,290140,0,247920,263240,341150,370340,242130
"P73510",101130,103270,0,92161,136310,111920,0,138490
"P73511",0,0,0,0,0,0,0,0
"P73515",0,0,0,0,0,0,0,0
"P73525",0,0,0,0,0,0,0,0
"P73527",303410,337780,0,289810,454090,458820,985190,421430
"P73529",0,86537,0,94538,98091,0,91174,94909
"P73530",1466900,1276300,0,1307200,1485100,1243000,506820,1262400
"P73534",559520,378170,0,432360,709660,595760,297230,442190
"P73535",0,96307,0,97186,94281,98853,0,93005
"P73537",0,0,0,0,0,0,0,0
"P73538",115620,123430,0,89308,75214,97770,251870,103490
"P73541",131880,131160,0,143210,177700,144880,439250,166550
"P73542",0,0,0,0,0,0,0,0
"P73544",0,0,0,0,0,0,0,0
"P73545",0,0,0,45687,0,34221,0,0
"P73546",157590,154810,0,223330,275730,259570,202190,191090
"P73547",0,0,0,0,0,0,0,0
"P73551",0,0,0,0,0,0,0,0
"P73552",0,0,0,0,0,0,0,0
"P73553",0,0,0,0,0,0,0,0
"P73556",63770,96342,0,85621,134170,98024,109020,82220
"P73557",0,0,0,140560,129850,249700,400170,2126100
"P73558",170290,146910,0,159860,273550,235880,0,177460
"P73560",166150,113180,0,115440,105020,131410,242220,148380
"P73562",0,0,0,0,0,0,0,0
"P73563",0,0,0,0,0,0,0,0
"P73565",0,0,0,0,0,0,0,0
"P73566",0,0,0,0,0,0,0,0
"P73567",120120,115410,0,146640,123150,105050,102990,137430
"P73568",0,0,0,0,0,0,0,0
"P73573",0,47758,0,46292,0,39577,71676,0
"P73574",177570,290930,0,0,0,344330,0,119230
"P73579",0,0,0,0,0,0,0,0
"P73581",0,0,0,0,0,0,0,0
"P73582",0,0,0,0,0,0,0,0
"P73585",0,0,0,52305,58578,0,0,0
"P73586",259730,308370,0,374810,303330,239450,434200,346160
"P73587",0,189660,0,246020,221100,281500,0,0
"P73589",0,74219,0,65699,118750,73587,71545,92676
"P73591",0,60566,0,70622,68627,61606,0,69272
"P73592",147220,214380,0,178590,218690,324120,63692,205280
"P73593",0,0,0,0,0,0,0,0
"P73594",170100,206140,0,172560,164040,167320,157380,210140
"P73595",0,50703,0,72137,100140,98542,0,84016
"P73596",707440,645830,0,769440,857060,726440,1386000,885230
"P73597",166100,160430,0,158570,244650,170080,384400,183830
"P73598",0,0,0,0,96218,96925,0,0
"P73599",0,0,0,0,0,0,0,0
"P73600",774830,667460,0,794710,969190,946250,529670,923100
"P73601",520550,585920,0,591230,729110,543010,778440,519090
"P73602",652190,757590,0,834920,825210,720620,1558400,925370
"P73603",1441200,1501200,0,1252400,1387300,1274600,712250,1698300
"P73604",1617500,1770900,0,1304100,1244600,1257900,437040,1628800
"P73605",491280,461600,0,371770,467480,557440,580190,531430
"P73606",267310,232110,0,261440,339120,334520,110730,247160
"P73608",0,0,0,0,0,0,0,0
"P73609",228010,0,0,106350,124180,0,0,0
"P73611",0,0,0,0,0,0,0,0
"P73617",0,0,0,0,0,0,0,0
"P73619",88679,88154,0,73093,95053,124550,234810,76078
"P73620;Q6ZEL2;Q6ZEP8;Q6ZEK6;Q6YRS8",0,0,0,0,0,0,0,0
"P73621",0,0,0,0,34948,0,0,37248
"P73622",0,0,0,0,0,0,0,0
"P73625",53284,0,0,51301,0,54585,0,57408
"P73626",892580,1010400,0,902240,793750,766280,465590,976100
"P73627",0,0,0,0,0,0,0,0
"P73628",777710,825740,0,1089900,894270,917980,1166300,1019600
"P73629",0,0,0,0,0,0,0,0
"P73630",90768,0,0,113680,0,92982,140450,127460
"P73632",245610,195420,0,211950,271200,282910,423470,225890
"P73636",971160,439420,0,723920,579140,714400,353060,557140
"P73637",0,71497,0,69468,67701,70307,54723,51457
"P73638",162870,165500,0,182740,181330,160750,0,173130
"P73639",0,0,0,0,0,0,0,0
"P73640",0,0,0,0,0,0,0,0
"P73641",0,77779,0,0,78464,59112,0,101120
"P73643",516720,684290,0,558270,589780,573660,499120,604330
"P73646",0,0,0,0,0,0,0,0
"P73647",41667,35832,0,49394,62321,48895,174590,53563
"P73648",61187,59623,0,72192,69365,54266,0,56272
"P73650",0,0,0,0,0,0,0,0
"P73651",0,0,0,0,0,0,0,0
"P73652",494540,627290,0,715570,854550,722700,0,669960
"P73653",133080,133240,0,147200,168480,125720,0,138620
"P73654",9765200,4392600,0,4818700,3594000,5525100,3107100,9524300
"P73655",441260,387640,0,527390,426810,368790,449610,453280
"P73656",0,0,0,0,0,0,0,0
"P73660",1362000,1399500,0,1286600,1214300,1042100,1588500,1234600
"P73662",0,0,0,0,0,0,0,0
"P73666",0,0,0,0,0,0,0,0
"P73668",0,0,0,41151,54201,54322,45054,0
"P73669",0,0,0,0,0,0,0,0
"P73672",163980,150260,0,183080,197850,186660,233160,162300
"P73674",0,0,0,82078,0,38965,96771,0
"P73677",0,0,0,0,47929,35139,0,0
"P73680",89671,79219,0,80463,125530,109430,0,82894
"P73681",538360,687470,0,666690,707180,582010,553110,638080
"P73684",0,0,0,37044,28897,45207,0,23910
"P73686",0,0,0,0,0,0,0,0
"P73690",60466,48347,0,74233,60960,106210,219990,80792
"P73693",0,0,0,0,0,0,0,0
"P73695",0,0,0,37898,37941,0,0,0
"P73696",0,0,0,0,0,0,0,0
"P73698",0,0,0,0,0,0,0,0
"P73699",0,0,0,0,0,0,0,0
"P73704",9230900,12224000,0,8128300,10048000,8072300,1251100,9952900
"P73705",0,0,0,0,0,0,0,0
"P73706",0,0,0,0,0,0,0,0
"P73707",0,0,0,0,0,0,0,0
"P73708",139070,94915,0,139760,99786,113220,0,132720
"P73709",0,0,0,0,0,0,0,0
"P73710",0,0,0,0,0,0,0,0
"P73711",3868100,3278000,143160,3701400,2565400,3692000,1590500,2501200
"P73714",0,0,0,0,0,0,0,0
"P73716",154430,250880,0,204190,217410,185390,310030,175430
"P73719",308730,336900,0,433500,286160,295330,336680,325690
"P73720",157420,118470,0,114930,186270,144230,177140,162110
"P73721",175050,127040,0,150440,197800,169500,0,184330
"P73722",1617500,2078900,2152100,1622800,1998100,2484200,2267600,1975500
"P73723",102490,87335,0,104530,91879,90803,0,132210
"P73724",45120,76855,0,69133,74835,69837,48213,37202
"P73725",0,0,0,0,0,0,0,0
"P73728",2231100,2606200,0,1976300,2478300,2236000,2645800,2504300
"P73729",0,0,0,25755,0,0,0,20972
"P73730",485030,634880,0,496020,474360,374110,296640,519550
"P73731",0,0,0,135090,100810,0,0,115140
"P73732",166830,161650,0,228810,211600,212500,350700,225220
"P73733",66543,0,0,0,0,69876,0,48827
"P73734",210440,230920,0,216280,201480,160050,163080,222450
"P73735",0,0,0,0,0,0,0,0
"P73736",717380,638250,0,614780,699550,694660,0,620900
"P73737",0,0,0,57994,63949,57671,0,45468
"P73740",0,0,0,0,0,0,0,0
"P73742",0,0,0,0,0,0,0,0
"P73746",0,0,0,0,0,0,0,0
