Name,S1,S2,S3,S4,S5,S6,S7,S8
Group,WT,WT,WT,WT,Treatment,Treatment,Treatment,Treatment
"3.61_132.10207_polar",2114,1550,1934,0,0,1636,1538,1352
"3.84_261.14439_polar",45844,55204,40552,44964,61772,56986,69142,69468
"3.85_122.08123_polar",2716,6920,2392,2880,2982,4350,3422,4812
"3.87_219.0975_polar",2562,2510,1428,2620,2244,1958,2998,2502
"3.92_244.07908_polar",4388,3106,7072,2482,5726,5028,5230,4816
"3.95_90.05483_polar",1196,850,850,1128,1166,974,1200,848
"4_247.12871_polar",29582,29382,25318,35536,40400,34396,39094,42730
"4.01_205.08209_polar",3136,3716,2024,4268,1762,2034,2168,2544
"4.03_60.04439_polar",7228,8282,2756,6982,9488,10370,9624,10612
"4.03_106.04978_polar",2020,3250,1516,2718,3214,3566,3278,3856
"4.04_88.03919_polar",1772,1710,1238,1554,2882,2682,2612,2462
"4.08_152.05669_polar",9428,12072,7960,9784,9844,12448,11438,13930
"4.21_288.11889_polar",2304,2584,2180,2648,1286,1830,1226,1264
"4.27_360.14001_polar",2536,3132,2042,2706,1782,2622,1854,2256
"4.36_74.05997_polar",1970,1638,1338,1634,2450,1676,1426,2108
"4.4_84.04441_polar",104482,117372,80742,118748,123400,119796,114532,132360
"4.4_219.09742_polar",24232,27928,19528,24552,36072,36372,34838,37778
"4.41_346.12456_polar",2424,2700,1750,2798,622,606,542,622
"4.49_230.09575_polar",47668,55020,46540,60760,71966,58480,65204,70524
"4.59_130.04989_polar",71098,76604,57978,83546,85272,98624,85122,99364
"4.63_276.11887_polar",16200,12066,12096,12780,12930,11086,14560,10244
"4.64_172.07551_polar",798,2304,2888,640,6166,7584,6400,7152
"4.74_120.06551_polar",28196,27708,22210,29782,2626,2592,3118,3212
"4.86_235.09274_polar",4270,5320,2556,4652,5898,4532,5774,5608
"4.99_189.15962_polar",10140,8336,6230,8120,1194,0,952,0
"4.99_147.07633_polar",1200,810,644,1348,784,1958,0,1220
"5.01_115.08656_polar",852,536,1054,534,1068,736,764,840
"5.18_102.05491_polar",3460,2620,3166,2646,4012,3030,2864,2694
